Date,Open,High,Low,Close,Adj Close,Volume
2009-11-19,104.040001,104.070000,102.870003,103.650002,78.059166,12739500
2009-11-20,102.919998,103.449997,102.720001,103.250000,78.012352,8680400
2009-11-23,104.199997,104.980003,104.129997,104.459999,78.926575,9489200
2009-11-24,104.440002,104.559998,103.589996,104.360001,78.851044,10211800
2009-11-25,104.540001,104.839996,104.199997,104.629997,79.054993,6489600
2009-11-27,102.459999,103.839996,102.230003,103.180000,77.959457,12916100
2009-11-30,103.110001,103.739998,102.709999,103.580002,78.261711,11959000
2009-12-01,104.279999,105.129997,104.269997,104.730003,79.130562,10101300
2009-12-02,104.739998,105.250000,104.320000,104.580002,79.017250,7124600
2009-12-03,104.849998,105.180000,103.589996,103.690002,78.344780,9723500
2009-12-04,104.959999,105.269997,103.199997,103.989998,78.571465,16602800
2009-12-07,103.830002,104.529999,103.690002,104.050003,78.616814,8189500
2009-12-08,103.419998,103.440002,101.750000,102.940002,77.778137,10719700
2009-12-09,102.959999,103.559998,102.480003,103.449997,78.163452,8583800
2009-12-10,103.989998,104.620003,103.949997,104.180000,78.715012,8039500
2009-12-11,104.510002,105.040001,104.250000,104.919998,79.274200,9235500
2009-12-14,105.320000,105.379997,104.919998,105.199997,79.485680,9752400
2009-12-15,104.910004,105.150002,104.470001,104.739998,79.138145,7191500
2009-12-16,105.089996,105.309998,104.470001,104.669998,79.085220,6283400
2009-12-17,104.040001,104.150002,103.290001,103.379997,78.110588,8223700
2009-12-18,103.449997,103.639999,102.430000,103.139999,78.231934,8299800
2009-12-21,103.559998,104.389999,103.519997,103.879997,78.793213,5968000
2009-12-22,104.220001,104.610001,104.050003,104.449997,79.225555,6849400
2009-12-23,104.650002,104.720001,104.169998,104.449997,79.225555,4867200
2009-12-24,104.570000,105.040001,104.550003,105.000000,79.642731,3568000
2009-12-28,105.199997,105.349998,104.889999,105.290001,79.862709,8116800
2009-12-29,105.489998,105.639999,105.250000,105.290001,79.862709,3356400
2009-12-30,104.930000,105.330002,104.879997,105.220001,79.809616,3243500
2009-12-31,105.339996,105.389999,104.029999,104.070000,78.937294,5189400
2010-01-04,104.839996,105.870003,104.760002,105.660004,80.143333,8977300
2010-01-05,105.610001,105.669998,104.970001,105.489998,80.014366,6549200
2010-01-06,105.500000,105.849998,105.360001,105.559998,80.067459,6797200
2010-01-07,105.379997,106.019997,104.949997,105.940002,80.355721,6312000
2010-01-08,105.669998,106.110001,105.440002,106.110001,80.484688,4912000
2010-01-11,106.400002,106.660004,105.820000,106.540001,80.810837,6858300
2010-01-12,105.849998,106.419998,105.580002,106.139999,80.507431,8869900
2010-01-13,106.330002,106.989998,106.040001,106.750000,80.970123,8619100
2010-01-14,106.639999,107.150002,106.580002,107.029999,81.182495,7039900
2010-01-15,106.940002,106.980003,105.540001,106.010002,80.408836,14027400
2010-01-19,105.900002,107.230003,105.860001,107.169998,81.288719,10877400
2010-01-20,106.500000,106.540001,105.129997,106.019997,80.416389,11896600
2010-01-21,105.970001,106.110001,103.709999,103.709999,78.664261,22253800
2010-01-22,103.379997,103.860001,101.550003,101.629997,77.086578,24606900
2010-01-25,102.389999,102.519997,101.669998,101.910004,77.298981,18236800
2010-01-26,101.660004,103.059998,101.480003,101.879997,77.276215,18352400
2010-01-27,101.669998,102.510002,100.989998,102.300003,77.594803,16203100
2010-01-28,102.589996,102.620003,100.510002,101.199997,76.760399,13409200
2010-01-29,101.559998,102.360001,100.410004,100.550003,76.267380,14556900
2010-02-01,101.209999,102.349998,101.070000,101.839996,77.245865,9985500
2010-02-02,101.949997,103.099998,101.680000,102.879997,78.034698,8891300
2010-02-03,102.620003,103.059998,102.339996,102.629997,77.845070,6561600
2010-02-04,101.949997,102.070000,100.010002,100.040001,75.880592,16419300
2010-02-05,100.150002,100.339996,98.360001,100.160004,75.971603,28939700
2010-02-08,100.000000,100.379997,99.120003,99.220001,75.258598,10929500
2010-02-09,100.160004,101.489998,99.839996,100.650002,76.343254,19228000
2010-02-10,100.550003,100.970001,99.750000,100.519997,76.244606,11212100
2010-02-11,100.419998,101.750000,99.870003,101.580002,77.048645,9934200
2010-02-12,100.529999,101.370003,99.989998,101.269997,76.813545,13643000
2010-02-16,102.010002,102.970001,101.589996,102.809998,77.981644,8958800
2010-02-17,103.160004,103.440002,102.949997,103.379997,78.413986,8784900
2010-02-18,103.169998,104.300003,103.160004,104.169998,79.013161,8677700
2010-02-19,103.699997,104.389999,103.419998,103.989998,79.077805,9324500
2010-02-22,104.379997,104.379997,103.709999,103.839996,78.963692,5285200
2010-02-23,103.610001,104.139999,102.690002,102.870003,78.226097,10810200
2010-02-24,103.180000,103.949997,102.989998,103.699997,78.857292,9658700
2010-02-25,102.250000,103.339996,101.919998,103.300003,78.553146,10052900
2010-02-26,103.349998,103.610001,102.779999,103.300003,78.553146,6961100
2010-03-01,103.669998,104.199997,103.580002,104.019997,79.100601,5818700
2010-03-02,104.430000,104.639999,103.949997,104.010002,79.093033,5673300
2010-03-03,104.349998,104.769997,103.830002,104.089996,79.153862,5891900
2010-03-04,104.239998,104.570000,103.959999,104.500000,79.465652,6168300
2010-03-05,104.989998,105.769997,104.870003,105.760002,80.423813,6753500
2010-03-08,105.720001,105.959999,105.500000,105.589996,80.294533,5728100
2010-03-09,105.440002,106.230003,105.410004,105.709999,80.385750,8672300
2010-03-10,105.820000,106.139999,105.379997,105.769997,80.431389,7325500
2010-03-11,105.639999,106.290001,105.239998,106.279999,80.819221,7739600
2010-03-12,106.639999,106.680000,106.129997,106.419998,80.925636,10139600
2010-03-15,106.300003,106.629997,105.870003,106.570000,81.039726,6760400
2010-03-16,106.779999,107.120003,106.410004,107.070000,81.419968,6848800
2010-03-17,107.309998,107.870003,107.230003,107.519997,81.762169,6989400
2010-03-18,107.529999,108.029999,107.459999,107.949997,82.089142,7495600
2010-03-19,107.339996,108.169998,106.919998,107.339996,81.782089,12068000
2010-03-22,106.949997,108.070000,106.919998,107.790001,82.124969,8835200
2010-03-23,108.029999,108.919998,107.830002,108.870003,82.947838,9105900
